Event Name,Description,Start Date,End Date,Start Time
Back to Basics Meditation Session,"Explore a variety of simple meditation techniques such as focused breathing, body scans, noting, and visualizations. Whether you are new to meditation or wanting to enhance your already existing practice, this session is for you.",Thu May 02,Thu May 02,12:00 AM
Graduate Certificate in Nonprofit Management and Leadership Info Session,Want to learn more about UMD’s Online Nonprofit Management and Leadership Graduate Certificate? Join us for a virtual information session about the program.,Thu May 02,Thu May 02,12:00 AM
The Wellness Series: Freedom from Perfectionism,This session will explore how perfectionism impacts students and provide strategies to help you embrace imperfection in yourself and others.,Thu May 02,Thu May 02,12:00 AM
Opera Scene Study: Maryland Opera Studio,First-year Maryland Opera Studio students demonstrate their talent in this showcase featuring scenes from a wide operatic repertory.,Thu May 02,Thu May 02,12:00 AM
Gamelan Concert,"Under the direction of I Nyoman Suadin, the UMD Balinese Gamelan Saraswati Ensemble presents an evening of traditional Balinese music.",Thu May 02,Thu May 02,12:00 AM
Maryland Math Celebration Day,Volunteers will engage elementary school students from PG County in mathematical activities and show them some of the college experience at UMD.,Fri May 03,Fri May 03,12:00 AM
Wind Down for the Weekend Meditation,"Sessions will explore breathing practices and various meditation styles, along with time for guided reflection.",Fri May 03,Fri May 03,12:00 AM
College Park Scholars Academic Showcase,Scholars Academic Showcase,Fri May 03,Fri May 03,12:00 AM
Opera Scene Study: Maryland Opera Studio,First-year Maryland Opera Studio students demonstrate their talent in this showcase featuring scenes from a wide operatic repertory.,Fri May 03,Fri May 03,12:00 AM
UMoves: Undergraduate Dance Concert,"In this varied, vibrant and celebratory dance presentation, the UMD School of Theatre, Dance, and Performance Studies offers new works of art in motion by student choreographers!",Fri May 03,Fri May 03,12:00 AM
UMD Wind Orchestra Season Finale Concert • IN-PERSON,Join us for the UMD Wind Orchestra’s season finale concert!,Fri May 03,Fri May 03,12:00 AM
UMD Wind Orchestra Season Finale Concert • LIVESTREAM,Join us for the UMD Wind Orchestra’s season finale concert!,Fri May 03,Fri May 03,12:00 AM
SEE Art Attack XL ft. Smino,Art Attack XL ft. Smino in Ritchie Coliseum,Fri May 03,Fri May 03,12:00 AM
UMoves: Undergraduate Dance Concert,"In this varied, vibrant and celebratory dance presentation, the UMD School of Theatre, Dance, and Performance Studies offers new works of art in motion by student choreographers!",Sat May 04,Sat May 04,12:00 AM
UMoves: Undergraduate Dance Concert,"In this varied, vibrant and celebratory dance presentation, the UMD School of Theatre, Dance, and Performance Studies offers new works of art in motion by student choreographers!",Sat May 04,Sat May 04,12:00 AM
Rain–River–Sea: UMD Symphony Orchestra • IN-PERSON,"Dive in the UMD Symphony Orchestra's season finale concert, featuring Robert Gibson's Through the Ear of a Raindrop, Bedrich Smetana's The Moldau, and Claude Debussy's La Mer. Each piece explores a different aspect of water, evoking its beauty, power",Sat May 04,Sat May 04,12:00 AM
Rain–River–Sea: UMD Symphony Orchestra • LIVESTREAM,"Dive in the UMD Symphony Orchestra's season finale concert, featuring Robert Gibson's Through the Ear of a Raindrop, Bedrich Smetana's The Moldau, and Claude Debussy's La Mer. Each piece explores a different aspect of water, evoking its beauty, power",Sat May 04,Sat May 04,12:00 AM
Tesla Quartet,"Dubbed “technically superb” by The Strad, the Tesla Quartet brings refinement and prowess to both new and established repertoire.",Sun May 05,Sun May 05,12:00 AM
The Muses Original Works Project,"The Muses proudly present their Original Works Projects, a memorable night of short plays written, directed, and performed by women who are either current UMD students or alumni.",Sun May 05,Sun May 05,12:00 AM
UMoves: Undergraduate Dance Concert,"In this varied, vibrant and celebratory dance presentation, the UMD School of Theatre, Dance, and Performance Studies offers new works of art in motion by student choreographers!",Sun May 05,Sun May 05,12:00 AM
Guided Visualization Meditation Sessions,"Join us as we journey from evergreen forests, to moonlit oceans, to galaxies far, far away - all without leaving the comfort of our own seats. Participants will be guided through peaceful and relaxing imagery to soothe the senses and calm the mind.",Mon May 06,Mon May 06,12:00 AM
The Wellness Series: Mastering Mindfulness,"Practicing mindfulness can help you manage your emotions, accept your reality, and stay grounded. Learn techniques to build your mindfulness skills and practice with brief mindful meditations.",Mon May 06,Mon May 06,12:00 AM
Brass Choir Concert,The UMD Brass Ensemble performs its semesterly brass concert.,Mon May 06,Mon May 06,12:00 AM
End of the Year Global Classrooms Showcase,Join us on May 7 to celebrate Global Learning at Home!,Tue May 07,Tue May 07,12:00 AM
Graduate Art History Association Distinguished Lecture,Jessica Bell Brown Lecture,Tue May 07,Tue May 07,12:00 AM
The Wellness Series: Time Management,This session will help you prioritize your obligations and organize your schedule so that you can take care of responsibilities in a timely manner and make time for self-care too!,Tue May 07,Tue May 07,12:00 AM
Finance Grand Challenges Speaker Series: Entrepreneurship and Small Business,"Tuesday, May 7: Finance Grand Challenges Speaker Series ""Entrepreneurship and Small Business"" (5:30 - 6:30 p.m. - VIRTUAL)",Tue May 07,Tue May 07,12:00 AM
Mokhtarzada Hatchery Demo Day,Meet the entrepreneurial leaders of tomorrow and hear about their visionary startups at Demo Day!,Tue May 07,Tue May 07,12:00 AM
Kreativity End of Semester Showcase,Join the Kreators of the Kreativity Diversity Troupe for their end-of-semester performance.,Tue May 07,Tue May 07,12:00 AM
Coffee with a Cop,Coffee with a Cop,Wed May 08,Wed May 08,12:00 AM
LEAP Preschool Program Touring Dates,The LEAP Preschool Program is hosting touring dates on Wednesdays from 11am to 12pm weekly!,Wed May 08,Wed May 08,12:00 AM
Data Help Desk: GIS,Data Help Desk: GIS,Wed May 08,Wed May 08,12:00 AM
The Wellness Series: Managing Conflict and Setting Boundaries,"This session will describe healthy and unhealthy types of conflict, explore strategies for setting (and being on the receiving end of) boundaries, and provide best practices for conflict resolution.",Wed May 08,Wed May 08,12:00 AM
"Breathe, Believe, Become: Breathwork for Expansion & Empowerment","Breathe, Believe, Become: Breathwork for Expansion & Empowerment",Wed May 08,Wed May 08,12:00 AM
Last Day of Classes,,Thu May 09,Thu May 09,12:00 AM
Data Help Desk: Data Science,Data Help Desk: Data Science,Thu May 09,Thu May 09,12:00 AM
Back to Basics Meditation Session,"Explore a variety of simple meditation techniques such as focused breathing, body scans, noting, and visualizations. Whether you are new to meditation or wanting to enhance your already existing practice, this session is for you.",Thu May 09,Thu May 09,12:00 AM
The Wellness Series: Dealing with Disappointment,This session will help you manage life's frustrations and bounce back from disappointment when things don't go the way you want or expect.,Thu May 09,Thu May 09,12:00 AM
Paint Night at Studio A,Express yourself at Studio A's Paint Nights!,Thu May 09,Thu May 09,12:00 AM
Do Good Study Break,Take a break from final exams and spend Reading Day with the Do Good Institute for refreshing drinks and snacks!,Fri May 10,Fri May 10,12:00 AM
Wind Down for the Weekend Meditation,"Sessions will explore breathing practices and various meditation styles, along with time for guided reflection.",Fri May 10,Fri May 10,12:00 AM
Senior Prom,"Join the Senior Council for ""THE PROM WE NEVER HAD!""",Fri May 10,Fri May 10,12:00 AM
Compagnia TPO: Farfalle,"Italy’s Compagnia TPO (Teatro di Piazza o d’Occasione) is a pioneering, multidisciplinary performance group that melds music, dance, art, sculpture, digital media, lighting and sound into a one-of-kind, interactive experience.",Sat May 11,Sat May 11,12:00 AM
Compagnia TPO: Farfalle,"Italy’s Compagnia TPO (Teatro di Piazza o d’Occasione) is a pioneering, multidisciplinary performance group that melds music, dance, art, sculpture, digital media, lighting and sound into a one-of-kind, interactive experience.",Sat May 11,Sat May 11,12:00 AM
Guided Visualization Meditation Sessions,"Join us as we journey from evergreen forests, to moonlit oceans, to galaxies far, far away - all without leaving the comfort of our own seats. Participants will be guided through peaceful and relaxing imagery to soothe the senses and calm the mind.",Mon May 13,Mon May 13,12:00 AM
The Wellness Series: Coping with Stress,"Stress is a ubiquitous part of life. It has a bad reputation but it’s not always a bad thing. Join us to learn about the different types of stress, common reactions to stress, and best practices for coping with various stressors.",Mon May 13,Mon May 13,12:00 AM
PCDI Affinity Space,"The affinity space for individuals who identify as part of the Disability Community will be held biweekly. This will be a space for conversation, games, and connection.",Mon May 13,Mon May 13,12:00 AM
The Wellness Series: Conquer Procrastination Now (Not Later),Getting started is sometimes the hardest part. This session will explore underlying causes of procrastination and provide specific techniques to end the cycle of unrealistic expectations and avoidance that inhibits productivity.,Tue May 14,Tue May 14,12:00 AM
Contemporary Art Collection Tour,"Join Stamp Gallery staff on a tour of the STAMP’s own student-lead art collection, the CAPP Collection, on the last Tuesday of every month from 5-5:30 pm, followed by refreshments in the Stamp Gallery",Tue May 14,Tue May 14,12:00 AM
Data Help Desk: GIS,Data Help Desk: GIS,Wed May 15,Wed May 15,12:00 AM
The Wellness Series: Deepening Relationships Through Vulnerability,"If you are looking to have stronger and more authentic relationships, join us to explore how vulnerability can help you feel more deeply connected to the people in your life. This session is interactive and experiential.",Wed May 15,Wed May 15,12:00 AM
Back to Basics Meditation Session,"Explore a variety of simple meditation techniques such as focused breathing, body scans, noting, and visualizations. Whether you are new to meditation or wanting to enhance your already existing practice, this session is for you.",Thu May 16,Thu May 16,12:00 AM
The Wellness Series: Navigating Change and Uncertainty,Adjusting to life’s changes and unknowns can be a challenge. This session provides strategies to help you cope with uncertainty and adapt to new experiences.,Thu May 16,Thu May 16,12:00 AM
Wind Down for the Weekend Meditation,"Sessions will explore breathing practices and various meditation styles, along with time for guided reflection.",Fri May 17,Fri May 17,12:00 AM
Chapel Open House,Come tour the Chapel!,Sat May 18,Sat May 18,12:00 AM
Individual School & College Commencement Ceremonies 2024,"Each graduate and their guests are invited to attend the individual ceremony for their school, college, or department. At these individual ceremonies, graduates walk across the stage and have their names read.",Mon May 20,Wed May 22,12:00 AM
Spring 2024 Main Commencement Ceremony,"The University of Maryland will hold its Spring 2024 Commencement for Summer 2023, Fall 2023, and Spring 2024 graduates. ",Mon May 20,Mon May 20,12:00 AM
Graduate Certificate in Nonprofit Management and Leadership Info Session,Want to learn more about UMD’s Online Nonprofit Management and Leadership Graduate Certificate? Join us for a virtual information session about the program.,Thu Jun 06,Thu Jun 06,12:00 AM
Open House,Come tour the Chapel!,Sat Jun 15,Sat Jun 15,12:00 AM
Open House,Come tour the spaces in the Chapel!,Sat Jul 13,Sat Jul 13,12:00 AM
Open House,Come tour the Chapel!,Sat Aug 10,Sat Aug 10,12:00 AM
